n;nombre;unidad_medida;precio_unitario;saldo_inicial;entradas;salidas;saldo_final
1;CONSENTIMIENTO INFORMADO ANESTESIA;BLOCK;220;0;4;4;0
2;CONSENTIMIENTO INFORMADO LAB 3;HOJA;0,14;0;0;0;0
3;CONSENTIMIENTO INFORMADO LABORATORIO;HOJA;15;0;0;0;0
4;CUARDERNO DE ENFERMERIA INTERNACIO PEDIATRICA;PZA;40;1;0;0;0
5;DERIVACIÓN DE MUESTRAS  LABORATORIO;BLOCK;18,5;0;0;0;0
6;DERIVACION DE MUESTRAS INMUNOLOGICAS LABORATORIO;BLOCK;40;0;0;0;0
7;DIPTICO CONCEJOS DE CUIDADO NEONATAL;UND;2;0;0;0;0
8;DIPTICOS INFORMATIVOS DE ATENCION AL PACIENTE;PZA;1,18;0;0;0;0
9;FICHA ANATOMÍA PATOLÓGICA;UND;0,49;0;0;0;0
10;FICHA DE CORRELACIÓN CLÍNICA;HOJA;0,15;0;0;0;0
11;FICHA DE RECOJO DE RESULTADOS;UND;0,9;0;0;0;0
12;FICHA EPIDEMIOLOGICA;BLOCK;129;0;0;0;0
13;FICHA EPIDEMIOLOGICA DE PARADITIS;BLOCK;45;0;0;0;0
14;FICHA EPIDEMIOLOGICA DE TOS FERINA;BLOCK;45;0;0;0;0
15;FICHA SOCIAL;HOJA;0,13;100;0;100;0
16;FICHA SOCIALL;HOJA;0,13;48;0;48;0
17;FOLDER INSTITUCIONAL;UND;10,4;216;0;100;116
18;FORM DE CONSETIMIENTO INFORMADO NEONATAL;HOJA;0,1;1200;0;0;0
19;FORM DE REGISTRO DE APEGO PRECOZ;HOJA;0,1;0;0;2000;0
20;FORM DE REGISTRO DE SIGNOS VITALES RN;BLOCK;140,05;0;0;0;0
21;FORM DE TRASFERENCIA;HOJA;0,1;0;0;0;0
22;FORM HISTORIA CLÍNICA DEL RN;BLOCK;98,11;0;4;4;0
23;FORM MONITOREO DEL RN.;HOJA;0,16;0;0;0;0
24;FORM. ESTADISTICA DE ADMISION  INGRESO;HOJA;0,34;0;0;0;0
25;FORM. GRAFICA;HOJA;0,34;0;0;0;0
26;FORM. ANAMNESIS;HOJA;0,34;0;0;0;0
27;FORM OBSERVACIÓN DE LA MAMADA;HOJA;0,15;0;0;0;0
28;FORM REGISTRO DE ENFERMERIA NEONATAL;BLOCK;110,12;0;0;0;0
29;FORM. ADMISION DEL RN;BLOCK;265;0;0;0;0
30;FORM. ALTA SOLICITADA NEONATAL;BLOCK;200;0;4;4;0
31;FORM. ANAMNESIS;HOJA;93,22;0;4;4;0
32;FORM. ANESTESIOLOGIA;BLOCK;160;24;3;15;12
33;FORM. BALANCE HIDRICO;BLOCK;103,37;26;0;20;6
34;FORM. BALANCE HIDRICO DIARIO;HOJA;0,29;0;0;0;0
35;FORM. BUNDELL DE CONTROL RN;BLOCK;90;0;0;0;0
36;FORM. CERTIFICADO UNICO DE VIOLENCIA;BLOCK;180;0;0;0;0
37;FORM. CLINICA DE EMERGENCIA;HOJA;0,34;0;0;0;0
38;FORM. CONSENTIMIENTO INFORMADO;HOJA;86,17;0;0;0;0
39;FORM. CONSENTIMIENTO INFORMADO;BLOCK;85;0;0;0;0
40;FORM. CONSENTIMIENTO INFORMADO CIR GRAL;BLOCK;105;0;0;0;0
41;FORM. CONSENTIMIENTO INFORMADO DE ACOMPAÑAMIENTO CIR. GRAL.;BLOCK;140;0;0;0;0
42;FORM. CONSENTIMIENTO INFORMADO DE ALTA SOLICITADA;HOJA;0,12;0;0;0;0
43;FORM. CONSENTIMIENTO INFORMADO DE INTERNACION RN;BLOCK;295;0;0;0;0
44;FORM. CONSENTIMIENTO INFORMADO PARA ANESTESIOLOGIA;BLOCK;175;0;0;0;0
45;FORM. CORRELACION CLINICA;BLOCK;102,58;50;0;50;0
46;FORM. DE COTIZACION MED/OFICIO;BLOCK;17,4;0;0;0;0
47;FORM. DE TEMPERATURA;HOJA;69,99;0;0;0;0
48;FORM. DIVERSOS EXCLUSIVO DE LA UNIDAD DE LABORATORIO;GLOBAL;2140;0;0;0;0
49;FORM. EVOLUCION Y TRATAMIENTO DEL RN;HOJA;0,34;24;0;12;12
50;FORM. EXAMEN DE LABORATORIO;HOJA;64,74;0;0;0;0
51;FORM. EXAMEN FISICO DIAGRAMA;BLOCK;175;0;0;0;0
52;FORM. EXAMEN GINECOLOGICO DIAGRAMA;BLOCK;175;0;0;0;0
53;FORM. HISTORIA CLINICA NEONATAL;BLOCK;95;0;0;0;0
54;FORM. HOJA DE EPICRISIS RN;BLOCK;90;0;0;0;0
55;FORM. INFORMADO RECHAZO A HOSPITALIZACION;HOJA;0,12;0;30;30;0
56;FORM. INFORME DE ESTUDIO HISTOPATOLOGICO;BLOCK;227,5;0;0;0;0
57;FORM. INFORME ESTADÍSTICO DE ADMISIÓN;BLOCK;105,93;0;0;0;0
58;FORM. INGRESO DE MATERIALES;BLOCK;33,06;0;27;27;0
59;FORM. INTERCONSULTAS;HOJA;73,17;0;0;0;0
60;FORM. MUESTRAS DE EVIDENCIA COLECTADAS;BLOCK;175;39;0;39;0
61;FORM. NOTA POST-QUIRURGICA;BLOCK;90;0;0;0;0
62;FORM. NOTA PRE-QUIRURGICA;BLOCK;100;0;0;0;0
63;FORM. NOTAS DE ENFERMERIA;BLOCK;117,76;0;0;0;0
64;FORM. NOTAS DE EVOLUCION;BLOCK;113,01;0;0;0;0
65;FORM. NUTRICIO PARENTERAL 1;BLOCK;198;0;106;106;0
66;FORM. ORDEN DE SALIDA AMBULANCIA;BLOCK;103,33;0;115;115;0
67;FORM. ORDENES MEDICAS;BLOCK;109,96;0;4;4;0
68;FORM. PARTOGRAMA;BLOCK;100;0;5;5;0
69;FORM. PRE-OPERATORIO ANESTESICO;BLOCK;190;0;125;125;0
70;FORM. PREPARACIÓN DE FORMULAS LÁCTEAS 1;BLOCK;80;0;20;20;0
71;FORM. PROCESO DE ENFERMERIA;BLOCK;198;0;0;0;0
72;FORM. PRO-FORMA FARMACIA INSTITUCIONAL;BLOCK;26,1;0;0;0;0
73;FORM. PROTOCOLO DE PARTO;BLOCK;125;0;0;0;0
74;FORM. PROTOCOLO QUIRURGICO;BLOCK;9;0;15;15;0
75;FORM. RE CONSULTA DE TRAUMATOLOGIA;BLOCK;108;0;0;0;0
76;FORM. RECHAZO DE INTERNACION NEONATAL;BLOCK;328;0;0;0;0
77;FORM. REGISTRO DE ANESTESIA;BLOCK;94,09;0;3;3;0
78;FORM. REGISTRO DE ENFERMERIA 1;BLOCK;100;0;0;0;0
79;FORM. REGISTRO DIARIO DE ENFERMERIA;HOJA;0,06;43;10;53;0
80;FORM. REGISTRO ENF HEMODIALISIS;BLOCK;140;0;0;0;0
81;FORM. REGISTRO HISTOPATOLOGICO;BLOCK;119,11;0;0;0;0
82;FORM. REPORTE DE ENF. QUIROFANO;HOJA;166,04;15;2;17;0
83;FORM. REPORTE DE ENFERMERIA EN QUIROFANO;BLOCK;175;0;10;10;0
84;FORM. RETINOPATIA DEL PREMATURO 1;BLOCK;200;0;0;0;0
85;FORM. SOLICITUD DE COMPRA T/OFICIO;BLOCK;29,58;0;5;5;0
86;FORM. SOLICITUD DE INTERVENCION QUIRURGICA;BLOCK;160;2;3;3;2
87;FORM. TAMIZAJE AUDITIVO 1;BLOCK;96;0;0;0;0
88;FORM. TAMIZAJE AUDITIVO NEONATAL 1;BLOCK;100;0;0;0;0
89;FORM. TRATAMIENTO DE ENFERMERÍA;HOJA;3,1;6000;0;0;6000
90;FORM. TRATAMIENTO MEDICO;BLOCK;100;0;0;0;0
91;FORM. UCIN NEONATAL;BLOCK;192,5;0;0;0;0
92;FORM. VALORACION PRE-ANESTESICA;HOJA;0,25;0;0;0;0
93;FORM. VERIFICACION DE MATERIALES 1;BLOCK;150;1;4;4;1
94;FORM. VISITA DOMICILIARIA;BLOCK;235;4007;0;4000;7
95;FORM. VITACORA DE CONTROL RECORRIDO;BLOCK;140;5;0;5;0
96;FORM.CUADRO COMPARATIVO DE COTIZACIONES;BLOCK;26,6;5;2;7;0
97;FORM.DE COTIZACION T/OFICIO;BLOCK;33,5;0;0;0;0
98;FORM.DIAGNOSTICO POR IMAGEN;BLOCK;31,56;0;0;0;0
99;FORM.INFORME DE ESTUDIO CITOPATOLOGICO;BLOCK;39,75;0;0;0;0
100;FORM.ORDEN DE COMPRA;BLOCK;32,41;0;0;0;0
101;FORM.PEDIDO DE MATERIALES;BLOCK;60,17;49;0;0;49
102;FORMULARIO D-1;BLOCK;120;13;0;0;13
103;FORMULARIO D-2;BLOCK;26,71;49;380;49;380
104;FORMULARIO DE CONSENTIMIENTO INFORMADO UNIDAD TRANSFUCIONAL;BLOCK;170;66;230;276;20
105;FORMULARIO DE CONTRAREFERENCIA;BLOCK;140,45;222;0;202;20
106;FORMULARIO DE EXAMEN AUDIOLOGICO;HOJA;0,24;2500;0;2500;0
107;FORMULARIO DE HIPOTIROIDISMO CONGENITO;HOJA;0,6;0;0;0;0
108;FORMULARIO DE MONITOREO;BLOCK;94,5;2500;0;2500;0
109;FORMULARIO DE R. TRAT.;BLOCK;68;0;0;0;0
110;FORMULARIO DE REFERENCIA;BLOCK;162;0;0;0;0
111;FORMULARIO DE REPORTE;HOJA;0,24;49;0;49;0
112;FORMULARIO DE REPOSTE QUÍMICA SANGUÍNEA Y HEMATOLOGÍA. UN SOLO LADO, TAMAÑO MEDIO OFICIO COLOR BLANCO Y NEGRO, GRAMAJE: 75G/M2 20LB MEDIDA: 81/2X13(216MMX165MM). PQTE.X500HOJAS;PQTES;120;0;0;0;0
113;FORMULARIO DE TRANSFERENCIA;BLOCK;99,67;4;1;2;3
114;FORMULARIO FICHA SOCIAL;BLOCK;195,2;0;0;0;0
115;FORMULARIO INFORMACION A LOS PADRES DEL RN;BLOCK;50,14;0;0;0;0
116;FORMULARIO KARDEX UNIDAD DE CUIDADOS CRITICOS;HOJA;0,28;5000;0;2;4998
117;FORMULARIO Nº 4 HOJAS DE ADMISIÓN;HOJA;0,28;0;0;0;0
118;FORMULARIO Nº 7 DE EVALUACIÓN;HOJA;0,38;2500;0;2500;0
119;FORMULARIO Nº 9 NOTAS DE ENFERMERÍA;HOJA;0,22;0;0;0;0
120;FORMULARIO OFTALMOLOGICO  ROP;HOJA;0,29;0;0;0;0
121;FORMULARIO ORIENTACION DE RN;HOJA;0,27;0;0;0;0
122;FORMULARIO PARA RESULTADOS ÁREA INMUNOLOGÍA. UN SOLO LADO, TAMAÑO MEDIO OFICIO COLOR BLANCO Y NEGRO, GRAMAJE: 75G/M2 20LB MEDIDA: 81/2X13(216MMX165MM). PQTE.X500HOJAS;PQTES;120;0;0;0;0
123;FORMULARIO REGISTRO DE MATERIAL EN SALA;HOJA;0,24;0;0;0;0
124;FORMULARIO VERIFICACIÓN DE PROCEDIMIENTOS RN;BLOCK;147,64;0;0;0;0
125;FORMULARIOS PACIENTES LABORATORIO;GLOBAL;16124;0;0;0;0
126;HISTORIA CLINICA AREA SOCIAL;BLOCK;250;5;4;4;5
127;HISTORIA CLINICA EN ENFERMERIA ALTA;HOJA;0,44;0;0;0;0
128;HOJA MEMBRETADA  LAB 18;HOJA;0,18;5;0;5;0
129;HOJA MEMBRETADA  LAB 19;HOJA;0,22;0;0;0;0
130;HOJA MEMBRETADA (BIOLOGÍA MOLECULAR). UN SOLO LADO, TAMAÑO CARTA FULL COLOR CON MARCA DE AGUA, GRAMAJE NACIONAL: 75G/M2 20LB MEDIDA: 81/2X11(216MMX279MM). PQTE.X500HOJAS;PQTES;130;0;0;0;0
131;HOJA MEMBRETADA DOCENCIA T/OFICIO;HOJA;0,28;0;0;0;0
132;HOJA MEMBRETADA T/CARTA;BLOCK;140;0;0;0;0
133;HOJA MEMBRETADA T/OFICIO;BLOCK;140;0;0;0;0
134;HOJA MEMBRETASA BIOLOGIA MOLECULAR LAB 17;HOJA;0,15;15;61;76;0
135;HOJA MEMORANDUM;BLOCK;140;27;60;71;16
136;IMPRESION ANALISIS CLINICO PED 21/25;GLOBAL;19980;0;0;0;0
137;IMPRESION MATERIAL GRAFICO LIBRETA DE APUNTES CON LOGO INSTITUCIONAL;PZA;6;11;0;11;0
138;IMPRESION PAPELERIA MICROBIOLOGIA;GLOBAL;19130;0;0;0;0
139;IMPRESION PAPELERIA PED 8/25;GLOBAL;19755;0;0;0;0
140;IMPRESION UN COLOR LABORATORIO;BLOCK;15;0;1;1;0
